DreamFamily.Monologue.1,我……,
DreamFamily.Monologue.2,这是……在哪……？,
DreamFamily.Monologue.3,感觉有种奇妙的凉爽……,
DreamFamily.Monologue.4,……,
DreamFamily.Monologue.5,我……尿床了吗……,
DreamFamily.Monologue.6,……,
DreamFamily.Monologue.7,不对，我终于去到二次元了吗……,
DreamFamily.Monologue.8,这难道就是传说中的……,
DreamFamily.Monologue.9,过劳死……,
DreamFamily.Monologue.10,我草……这种死法是否太荒谬了一点……,
DreamFamily.Monologue.11,能放过我吗……？,
DreamFamily.Kaede.12,Miki，晚饭回家吃吗？,
DreamFamily.Miki.13,啊啊，今天还要加班啊,
DreamFamily.Miki.14,还有几个年轻人的案子要帮他们看一眼,
DreamFamily.Kaede.15,哦。我和 Daisy 刚从现场回来,
DreamFamily.Miki.16,怎么样怎么样,
DreamFamily.Kaede.17,门都装好了，估计你过几天就能搬进去,
DreamFamily.Miki.18,好耶好耶好耶,
DreamFamily.Monologue.19,所以……我是真的盖起房子来了吗？,
DreamFamily.Daisy.20,喂喂喂，老姐,
DreamFamily.Daisy.21,喂喂喂，老哥,
DreamFamily.Daisy.22,[房子照片]在小街道上的一户建，根据玩家选的建模比赛给张图,
DreamFamily.Daisy.23,真的超级棒,
DreamFamily.Daisy.24,必须要在新家请我吃饭哦,
DreamFamily.Daisy.25,我们什么时候去买家具，我想买 IKEE 的写字桌和办公椅~,
DreamFamily.Daisy.26,顺便去吃 IKEE 的猪排饭！,
DreamFamily.Miki.27,你就是想吃猪排饭吧？,
DreamFamily.Daisy.28,哈哈哈，被你发现了,
DreamFamily.Daisy.29,谢谢你为我准备了房间，但是我不想打扰你,
DreamFamily.Daisy.30,反正麻园的新诊所和你只隔了一条路,
DreamFamily.Kaede.31,你妹妹要住哪边让她自己决定吧,
DreamFamily.Monologue.32,这……这就是死后的世界吗……？,
DreamFamily.Monologue.33,真幸福啊……,
