NP10.10.Message.1,虽然不抱希望 但还是问一句 这周六去周一回 大川古生物化石展 有要去的吗？因为要留宿 限女生,
NP10.10.Comment.1,这种展真的有人去啊？,
NP10.11.Message.1,和麦老师 的第一次短途旅行 古生物展很漂亮 也深深感觉到自己并不适合从事研究 为此失落但得到了麦老师的安慰 晚上在西苍路喝酒 推荐特调 西苍之吻,
NP10.12.Message.1,和麦老师 的第一次短途旅行 古生物展很漂亮 也深深感觉到自己并不适合从事研究 为此失落但得到了麦老师的安慰 晚上在西苍路喝酒 推荐特调 西苍之吻,
NP10.13.Message.1,"白色的海鸥落在路灯上，雷古医生走进光锥，靠近他的新病人。新病人面色紫白，嘴唇下面的两块泛棕色尤其明显。

“有什么我能帮到你？”

“带我去坐世罗海鸥线。”她回答雷古医生。“我在银行里存了两匹战马，你带我去，我把存单给你。”

雷古医生从她手里接过存单。“麻园企业银行，是公户吗？”

“个人账户。”新病人的声音沙哑而虚弱。她的手指无意识地抓挠着大衣的衣角，眼神飘忽不定。“我只想去世罗海鸥线，在那里看看海。”

雷古医生仔细端详着手中的存单，灯光下那些字迹似乎在微微晃动。

“这是用旅法师墨水写的？”

新病人点了点头，嘴角终于扬起一丝微笑。“这是我父亲的遗物。”

“其实你准备了什么样的故事都无所谓。我要先提前告诉你，世罗海鸥线可能不像你想的那样美好，你去了不一定还能回来。”

她只是点头，把目光移向了光锥之外。

“你有两匹战马，我可以用一套盔甲和你换一匹，再附送你一本《冲击骑兵速成指南》。你从爱意山杀出麻园，之后你就自由了，什么禁魔局啊，公路局全都追不上你。”

“我犯了大错，费伦。”她的眼神和声音都逐渐变得坚决。

“你是从哪里知道我的名字的——”

雷古医生的话没说完，一支软箭游进光锥射穿了他的肩膀。光锥随着剧痛一起爆炸，路灯消失了飞散的光辉凝聚回海鸥的翅膀尾端。麻园闹市区闪耀的霓虹和几个带着弓箭的人一起出现在雷古身后。新病人立刻从腰带上拔枪射击，子弹旋转着，搅动着，不断把热浪和音波抛射到夜幕中。

“快点、费伦！税局的人来了！”

她一边射击，一边缓步向前，把税局的人逼近了小巷。疼痛和枪声占据了雷古的大脑，他睁不开眼睛，除了爆鸣听不见任何声音。他记得这个声音，他回想起在栗岛发生的事情。

茜尼，是你吗！茜尼？！

谁都听不见这个声音。雷古勉强睁开的眼睛被茜尼的红发慢慢撑大了，软箭从小巷里射出来，茜尼的枪声像屏障一样挡在雷古面前。雷古知道说什么都无法让茜尼回头了，他含起上嘴唇开始念咒。

污————

一支箭从后面射穿茜尼的小臂，她的手枪落在地上。海鸥扇动辉彩的翅膀飞上夜空。茜尼试图捡起枪用左手射击，又被迎面两箭射中了大腿和腹部。她握着枪跪在地上，仅存的力量和意志快要对抗不了疼痛。

污————污————

雷古的嘴唇开始像火车汽笛一样轰鸣，高空中的海鸥第二双眼睛从它的眼角睁开。税局的弓手收起长弓拿出手铐，配合增援的盾兵结成阵型向他们靠近。

污——嘎嘎嘎嘎嘎嘎嘎——

接着是第三双、第四双眼睛，它们在雷古的咒语中越来越多越来越大，最后撕裂血肉变成一列火车。税局的人停下脚步看向夜空中突然出现的血红色列车，它头朝下停在天空中。

嘎、嘎嘎。嘎嘎、嘎嘎嘎。

箭雨射不穿列车，盾兵扔掉盾牌冲向雷古和茜尼，只是一切都太晚了。列车尖啸着俯冲而下，撞碎了地上互相依偎的两人。他们的身体消散，化作一团红白交杂的羽毛。插进地里的列车依然没有停止运行，它越发热烈红炽。

暴风吹出火车车厢里的欢声笑语，那是茜尼和雷古的声音混在一起，像海鸥的啼叫。税局的人慌忙后退，列车已经热得发蓝。

蓝光染透了麻园的所有的霓虹和灯光。如同下雨一样，它们开始往天空中滴落光链，光芒在魔力中流淌，像轨道般汇集。等它们凝聚出形状，列车爆炸成了一群海鸥，海鸥们在反转的光湖中踢蹼、漫游——

然后消散。",
NP10.13.Comment.1,啊？雷古挂了吗？这种事情不要啊,
NP10.13.Comment.2,令人忍俊不禁，保重。,
NP10.13.Comment.3,老雷啊！没有你我可怎么活,
NP10.13.Comment.4,我草，牛逼牛逼，精彩，出动画吧,
NP10.13.Comment.5,你不觉得剧情开展的太荒唐了吗，没有文字的美感不喜欢,
NP10.20.Message.1,"第三十四部分
2010年7月19日，第二届也是最后一届火焰杯高校电子设计竞赛在亚东海洋大学落幕。本届大赛有来自全国各地共2958支高校队伍参赛，其中有1422支队伍中包含有赛博生命成员。经过三个月的赛程，来自大川大学新电子学院的 PL 队凭借《基于以太窗格效应的卷积算法》获得火焰杯。
PL 成员
Pi，Lugennar（赛博生命）
PL 导师
Cid（赛博生命）

<color=#3164c0>#网络发展史</color>
<color=#3164c0>#互联网的记忆不会磨灭</color>",
