LiAsk.Li.1,教授,
LiAsk.Li.101,我还是没太搞明白为什么会这样,
LiAsk.Li.102,要不然,
LiAsk.Li.2,您再指点指点我,
LiAsk.Li.103,我控制了变量重新用软件试了一下,
LiAsk.Typing.3.1,浓度太大了，死掉了啦,
LiAsk.Li.4,哦！！,
LiAsk.Li.5,原来是这样啊,
LiAsk.Li.6,那么我只要把浓度降低到原来的十分之一是不是就行？,
LiAsk.Typing.3.2,自己去想,
LiAsk.Typing.8,想不出来你就延毕吧,
LiAsk.Li.9,啊！不能这样啊老板,
LiAsk.Li.10,我感觉只要把浓度降低到原来的十分之一就能得到理想数据了,
LiAsk.Monologue.11,自己不是知道吗……？,
LiAsk.Monologue.12,……十倍的浓度未免也太夸张了.,
LiAsk.Monologue.13,怎么感觉他是故意的……,
LiAsk.Monologue.14,而且上次一点他发给我的图片就出了问题。,
LiAsk.Li.15,这个是我用 MAT STUDIO 做的仿真,
LiAsk.Li.16,结果就，不太对,
LiAsk.Li.17,[图片],
LiAsk.Monologue.18,哼——,
LiAsk.Monologue.19,以为我还会上当吗？,
LiAsk.Monologue.103,上次一点他发给我的图片就出了问题。,
LiAsk.Monologue.104,只看这个缩略图就能看出问题所在。,
LiAsk.Typing.105,你这不是知道吗？,
LiAsk.Li.106,但是调整了浓度,
LiAsk.Li.20,就是和你想要的那个结果不太一样啊,
LiAsk.Li.21,根据前面的数据简单画一下就能看出来影响不显著,
LiAsk.Li.22,你预期的结果是可以抑制甲基化,
LiAsk.Li.23,这个结果要是公布出去的话凤凰疏风丸整条产品线都会挂掉诶,
LiAsk.Typing.24,别急,
LiAsk.Monologue.25,我也是念过大学的人。,
LiAsk.Monologue.26,只要统计用得好，没有结论得不到。,
LiAsk.Monologue.27,这是我的第一堂统计课上老师教给我的。,
LiAsk.Monologue.28,更何况只是一篇论文而已。,
LiAsk.Monologue.29,办法实在太多了。,
LiAsk.Monologue.30,他们以为同行评议能守护得了什么。,
LiAsk.Monologue.31,呵呵哈哈哈哈——！,
LiAsk.Typing.32.1,用统计术,
LiAsk.Typing.33,把我们想要的结果统计出来,
LiAsk.Li.34,统计术？,
LiAsk.Typing.35,你改改横纵轴,
LiAsk.Typing.36,实在不行加点假数据,
LiAsk.Typing.37,通过科学,
LiAsk.Typing.38,我们想要的东西都可以得到,
LiAsk.Typing.32.2,把想要的结果画上去,
LiAsk.Typing.40,JUST FAKE IT,
LiAsk.Li.41,啊？那样不会露馅吗？,
LiAsk.Li.42,学术不端的话我们都会完蛋的,
LiAsk.Typing.43,听我的一定没问题,
LiAsk.Typing.32.3,收手吧，Li,
LiAsk.Typing.45,换一个研究方向,
LiAsk.Li.46,这样的话，迄今为止的努力不都白费了吗,
LiAsk.Li.47,总觉得这样不太好,
LiAsk.Li.48,我在 GOLU SCHOLAR 上找到了一篇文章,
LiAsk.Li.49,感觉我们可以试一下他们的方法,
LiAsk.Li.50,现在我们是在用凤凰苷水溶液,
LiAsk.Li.51,他们是用气溶胶散布,
LiAsk.Li.52,"<sprite name=""Link""><color=#3164c0>trap-card://golu-scholar/5438822",
LiAsk.Monologue.53,气凝胶……？,
LiAsk.Monologue.54,那不是搞材料的那群人弄的吗……,
LiAsk.Monologue.55,我记得以前有人提过气凝胶采光砖来着。,
LiAsk.Monologue.56,比起玻璃砖，又轻强度又高。,
LiAsk.Monologue.57,稍微有点兴趣了。,
LiAsk.Monologue.58,没想到毕业以后还会接触到论文啊……,
